what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1336556299116
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-10M3527",1336556299116
java.specification.name,sysinfo,,,"Java Platform API Specification",1336556299116
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1336556299116
java.specification.version,sysinfo,,,"1.6",1336556299116
java.vendor,sysinfo,,,"Apple Inc.",1336556299116
java.version,sysinfo,,,"1.6.0_29",1336556299116
java.vm.info,sysinfo,,,"mixed mode",1336556299116
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1336556299116
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1336556299116
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1336556299117
java.vm.specification.version,sysinfo,,,"1.0",1336556299117
java.vm.vendor,sysinfo,,,"Apple Inc.",1336556299117
java.vm.version,sysinfo,,,"20.4-b02-402",1336556299117
started,bundle,com.aptana.ide.debug.core,1.5.0.25240,"com.aptana.ide.debug.core",1336556307239
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1336556307530
started,bundle,com.aptana.ide.desktop.integration.protocolhandler,1.5.0.25611,"com.aptana.ide.desktop.integration.protocolhandler",1336556307568
started,bundle,com.aptana.ide.desktop.integration.server,1.5.0.25497,"com.aptana.ide.desktop.integration.server",1336556307669
started,bundle,com.aptana.ide.installer,1.5.0.25382,"com.aptana.ide.installer",1336556307684
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1336556308485
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1336556308537
error,log,,,"An internal error has occurred.",1336556309960
started,bundle,com.aptana.ide.professional.licensing,1.5.0.25826,"com.aptana.ide.professional.licensing",1336556318340
started,bundle,com.aptana.ide.editors,1.5.0.25476,"com.aptana.ide.editors",1336556318358
started,bundle,com.aptana.ide.scripting,1.5.0.24993,"com.aptana.ide.scripting",1336556318360
started,bundle,org.eclipse.eclipsemonkey,1.5.0.24896,"org.eclipse.eclipsemonkey",1336556318595
started,bundle,org.eclipse.eclipsemonkey.lang.javascript,1.5.0.24896,"org.eclipse.eclipsemonkey.lang.javascript",1336556318595
started,bundle,org.eclipse.eclipsemonkey.doms,1.5.0.24896,"org.eclipse.eclipsemonkey.doms",1336556318702
started,bundle,org.eclipse.mylyn.team.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.team.ui",1336556318852
opened,editor,com.aptana.ide.server.portal,1.5.0.26171,"com.aptana.ide.server.portal.ui.MyAptanaEditor",1336556319401
activated,editor,com.aptana.ide.server.portal,1.5.0.26171,"com.aptana.ide.server.portal.ui.MyAptanaEditor",1336556320563
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336556320656
started,bundle,com.aptana.ide.server.core,1.5.0.24896,"com.aptana.ide.server.core",1336556320828
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336558547999
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336558548008
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1336558548223
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336558548891
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336558551933
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336558554167
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336558559156
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336558559502
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336558559711
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1336558559714
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336558591533
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336558593893
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336558594106
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336558594196
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.navigate.openResource",1336558594197
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1336558623364
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1336558623365
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1336558623367
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336558703433
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561384090
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561386240
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561397673
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1336561398409
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1336561399126
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.navigate.open.type",1336561399332
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561401479
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.show.outline",1336561401549
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561404873
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1336561450621
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561466459
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.show.outline",1336561466528
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561468963
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561535379
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336562186153
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1336562187991
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1336562188007
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1336562188363
